question_1;question;antianswer;answer
0;¿Cuál es el océano más grande del mundo?;atlantico;pacifico
1;¿Cuál es el planeta más grande del sistema solar?;sol;jupiter
2;¿De qué país es capital Buenos Aires?;españa;argentina
3;¿Cuál es el ave que no puede volar y es además la más grande del mundo?;pinguino;avestruz
4;¿Cómo se llama la parte líquida de la sangre?;agua;plasma
5;¿Cuál es el apellido del cantante que grabó las canciones <i>Heartbreak hotel</i> y <i>All shook up</i>?;elvis;presley
6;¿Cuál es el apellido de la persona que propuso la teoría de la relatividad?;newton;einstein
7;¿Cuál es el río más largo de sudamérica?;nilo;amazonas
8;¿Qué ciudad italiana se destruyó cuando hizo erupción el Monte Vesubio en el año 79 después de Cristo?;roma;pompeya
9;¿Cuál es la capital de Jamaica?;jamaica;kingston
